Distance,Base Angle,Movement,Sentence
Far,Front,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
